Date,Ticker,Sentiment_Mean,Sentiment_Std,Headline_Count
2021-08-18,MSFT,-0.44365817,0.6530521,4
2021-08-18,NVDA,-0.18231313,0.8660537,10
2021-08-18,TSLA,0.09470642,0.55515826,12
2021-08-19,AAPL,0.10418446,0.67789066,10
2021-08-19,MSFT,0.5613462,0.48993632,9
2021-08-19,NVDA,0.21520953,0.85492086,11
2021-08-19,TSLA,0.046988454,0.6888827,9
2021-08-20,AAPL,-0.5229669,0.40112698,9
2021-08-20,MSFT,-0.11144635,0.6594441,9
2021-08-20,NVDA,-0.15009151,0.6644676,7
2021-08-20,TSLA,0.040402856,0.5173837,11
2021-08-21,AAPL,-0.15744784,0.6932337,5
2021-08-21,MSFT,-0.143489,0.34264612,4
2021-08-21,NVDA,0.93837017,0.0,1
2021-08-21,TSLA,0.2102187,0.60103667,5
2021-08-22,TSLA,-0.38529786,0.4877082,4
2021-08-23,AAPL,0.13849641,0.44676137,5
2021-08-23,MSFT,0.098187454,0.6743273,6
2021-08-23,NVDA,0.34355885,0.51394427,8
2021-08-23,TSLA,0.13897039,0.5550459,12
2021-08-24,AAPL,0.12268649,0.47485876,15
2021-08-24,MSFT,0.283732,0.3480763,5
2021-08-24,NVDA,0.45259982,0.6264269,4
2021-08-24,TSLA,0.080526866,0.64311475,12
2021-08-25,AAPL,0.2768647,0.5560332,15
2021-08-25,MSFT,0.055327017,0.48761126,6
2021-08-25,NVDA,0.08571585,0.35302806,5
2021-08-25,TSLA,0.14314868,0.3248849,6
2021-08-26,AAPL,0.0360941,0.6413223,12
2021-08-26,MSFT,0.034909546,0.5582776,8
2021-08-26,NVDA,0.29699314,0.5228512,3
2021-08-26,TSLA,0.021421108,0.44986928,9
2021-08-27,AAPL,0.0861007,0.5254569,9
2021-08-27,MSFT,0.0052847993,0.6813797,4
2021-08-27,NVDA,-0.07189845,0.3267261,4
2021-08-27,TSLA,0.3170753,0.6095266,8
2021-08-28,AAPL,0.0022698715,0.5647758,5
2021-08-28,MSFT,0.10192359,0.0,1
2021-08-28,TSLA,-0.20371819,0.46012992,5
2021-08-29,AAPL,-0.3672944,0.0,1
2021-08-29,MSFT,-0.5336019,0.0,1
2021-08-29,NVDA,-0.3588014,0.0,1
2021-08-29,TSLA,-0.030305063,0.29679736,3
2021-08-30,AAPL,0.25962824,0.7106746,18
2021-08-30,MSFT,0.32976654,1.0050261,3
2021-08-30,NVDA,0.5480779,0.4980088,3
2021-08-30,TSLA,-0.09124161,0.61512625,10
2021-08-31,AAPL,0.08099493,0.80172837,10
2021-08-31,MSFT,-0.21069871,0.6459932,7
2021-08-31,NVDA,-0.2568288,0.793562,3
2021-08-31,TSLA,0.16079949,0.2753369,8
2021-09-01,AAPL,0.057914533,0.45700443,10
2021-09-01,MSFT,-0.19074221,0.6568082,3
2021-09-01,NVDA,-0.6930265,0.28091758,2
2021-09-01,TSLA,0.21803096,0.5451387,9
2021-09-02,AAPL,0.100148596,0.64757675,9
2021-09-02,NVDA,0.21778059,1.0071582,2
2021-09-02,TSLA,-0.35613978,0.6998534,11
2021-09-03,AAPL,0.10732732,0.30743274,6
2021-09-03,MSFT,0.18974976,0.962811,3
2021-09-03,NVDA,-0.67769957,0.39411193,2
2021-09-03,TSLA,0.14737174,0.38020733,7
2021-09-04,AAPL,-0.08519155,0.7101884,4
2021-09-04,TSLA,0.405035,0.64693296,3
2021-09-05,AAPL,0.77603525,0.0,1
2021-09-05,TSLA,0.3289218,0.52029264,3
2021-09-06,AAPL,0.892922,0.0,1
2021-09-06,MSFT,0.892922,0.0,1
2021-09-07,AAPL,-0.08690572,0.6099193,14
2021-09-07,MSFT,0.26359728,0.32050005,3
2021-09-07,NVDA,-0.3399891,0.33043107,2
2021-09-07,TSLA,-0.07239431,0.6157799,13
2021-09-08,AAPL,0.21483356,0.6067139,15
2021-09-08,MSFT,0.120731175,0.64417297,6
2021-09-08,NVDA,0.23746768,0.90013003,2
2021-09-08,TSLA,0.23642379,0.65682626,12
2021-09-09,AAPL,0.075176686,0.56913924,11
2021-09-09,MSFT,0.118192345,0.770551,6
2021-09-09,NVDA,-0.50279707,0.55145645,3
2021-09-09,TSLA,0.0041008345,0.49815372,10
2021-09-10,AAPL,0.06531219,0.6137615,13
2021-09-10,MSFT,-0.6368147,0.089343734,2
2021-09-10,NVDA,-0.57363915,0.0,1
2021-09-10,TSLA,0.066616274,0.5428256,10
2021-09-11,AAPL,-0.8732984,0.021892507,2
2021-09-11,NVDA,-0.25787964,0.0,1
2021-09-11,TSLA,-0.056791056,0.5385176,6
2021-09-12,AAPL,-0.35318226,0.623987,2
2021-09-12,TSLA,0.032134954,0.019438226,2
2021-09-13,AAPL,-0.07192354,0.58313423,13
2021-09-13,MSFT,-0.66817975,0.3806488,2
2021-09-13,TSLA,-0.07424515,0.6739824,11
2021-09-14,AAPL,-0.15335827,0.592643,12
2021-09-14,MSFT,0.060229015,0.66398335,10
2021-09-14,NVDA,-0.43487495,0.08416382,2
2021-09-14,TSLA,0.018249936,0.65848786,9
2021-09-15,AAPL,0.15731052,0.5179429,11
2021-09-15,MSFT,0.13990316,0.6212918,10
2021-09-15,NVDA,-0.35556632,0.12627438,2
2021-09-15,TSLA,0.16325866,0.33618927,11
2021-09-16,AAPL,-0.18933399,0.39371043,13
2021-09-16,MSFT,0.22511283,0.59927696,7
2021-09-16,NVDA,-0.0010178965,0.0,1
2021-09-16,TSLA,-0.033864804,0.46587873,13
2021-09-17,AAPL,0.01842405,0.66286665,11
2021-09-17,MSFT,-0.0051500155,0.60381246,7
2021-09-17,NVDA,-0.36053365,0.67323023,7
2021-09-17,TSLA,-0.009066628,0.5543687,9
2021-09-18,AAPL,-0.24302264,0.409443,3
2021-09-18,MSFT,0.061994087,0.12921831,3
2021-09-18,NVDA,0.053294342,0.0,1
2021-09-18,TSLA,-0.053531844,0.086858116,5
2021-09-19,AAPL,0.5088392,0.3691666,3
2021-09-19,MSFT,0.928974,0.0,1
2021-09-19,TSLA,-0.1594667,0.46920556,4
2021-09-20,AAPL,-0.18791856,0.6369354,11
2021-09-20,MSFT,-0.7076298,0.28317472,4
2021-09-20,NVDA,-0.48437047,0.46041057,3
2021-09-20,TSLA,-0.2804474,0.57926196,9
2021-09-21,AAPL,0.0013452823,0.3983603,11
2021-09-21,MSFT,-0.12410278,0.14279564,3
2021-09-21,NVDA,0.1593266,0.67583704,3
2021-09-21,TSLA,0.120507084,0.5976058,13
2021-09-22,AAPL,-0.22976136,0.70337796,9
2021-09-22,MSFT,0.21428108,0.6384009,3
2021-09-22,NVDA,0.31675562,0.7364791,5
2021-09-22,TSLA,-0.28425184,0.47981492,11
2021-09-23,AAPL,-0.28607774,0.5684657,12
2021-09-23,MSFT,-0.35384044,0.13208018,3
2021-09-23,NVDA,0.059774697,0.86946166,4
2021-09-23,TSLA,0.15991534,0.6314704,10
2021-09-24,AAPL,-0.3148392,0.60797256,9
2021-09-24,MSFT,-0.093638696,0.5463376,3
2021-09-24,NVDA,-0.1943382,0.2894643,2
2021-09-24,TSLA,0.027221406,0.4890525,11
2021-09-25,AAPL,-0.0068747737,0.68814665,4
2021-09-25,MSFT,0.4997443,0.5621139,2
2021-09-25,TSLA,-0.036921162,0.48886827,7
2021-09-26,AAPL,-0.6279664,0.0,1
2021-09-26,MSFT,-0.6279664,0.0,1
2021-09-26,NVDA,-0.6279664,0.0,1
2021-09-26,TSLA,-0.22084509,0.49958813,4
2021-09-27,AAPL,-0.20295738,0.599297,14
2021-09-27,MSFT,-0.41268963,0.58215207,7
2021-09-27,NVDA,-0.7939344,0.22018649,4
2021-09-27,TSLA,0.15526801,0.58059204,13
2021-09-28,AAPL,-0.24148303,0.58239275,12
2021-09-28,MSFT,-0.20860961,0.6034213,8
2021-09-28,NVDA,-0.1936446,0.7692665,7
2021-09-28,TSLA,0.008972026,0.61517686,11
2021-09-29,AAPL,-0.46896005,0.429371,6
2021-09-29,MSFT,-0.3493472,0.5003625,4
2021-09-29,NVDA,-0.7877906,0.17214589,6
2021-09-29,TSLA,0.057875287,0.54889864,15
2021-09-30,AAPL,-0.1356492,0.59397954,8
2021-09-30,MSFT,-0.51987314,0.31149074,3
2021-09-30,NVDA,-0.19585076,0.52987695,5
2021-09-30,TSLA,0.058935426,0.583701,10
2021-10-01,AAPL,0.025582617,0.47038502,8
2021-10-01,MSFT,-0.08286454,0.0,1
2021-10-01,NVDA,0.9088878,0.0,1
2021-10-01,TSLA,-0.14055961,0.61557347,8
2021-10-02,AAPL,-0.7626845,0.0,1
2021-10-02,TSLA,-0.048295543,0.6738444,6
2021-10-03,AAPL,-0.28739166,0.0,1
2021-10-03,MSFT,-0.7646957,0.0,1
2021-10-03,TSLA,-0.9044844,0.026190937,2
2021-10-04,AAPL,-0.49134427,0.43981266,11
2021-10-04,MSFT,-0.571639,0.62208754,3
2021-10-04,NVDA,-0.4898151,0.5134138,3
2021-10-04,TSLA,-0.19681235,0.6375137,15
2021-10-05,AAPL,-0.1416081,0.53374773,11
2021-10-05,MSFT,-0.13660008,0.5233382,4
2021-10-05,NVDA,0.34671566,0.6361658,11
